,rsp_id,country,departamento,municipio,neighborhood,rural_urban,rsp_sex,rsp_age,hh_size,remittances_yn,remesa_efectivo_uso_pct/2,exp_6months_currency,exp_6months_health,avg_income_currency,avg_income_amount,exp_6months_health_USD
3132,1866,HND,901742,1021723,Colonia Adrian Zepeda,2,1,36,4,0,,2,49.2,2.0,246.0,2.0172000000000003
3133,1865,HND,901742,1021723,Colonia Adrian Bladimiro Zepeda,2,1,47,3,0,,2,0.0,2.0,123.0,0.0
3149,1849,HND,901742,1021726,Minerva,2,1,33,4,0,,2,123.0,,,5.043
3150,1848,HND,901742,1021726,Minerva,2,1,29,5,0,,2,61.5,2.0,82.0,2.5215
3151,1847,HND,901742,1021726,Bella Vista,2,1,63,2,0,,2,28.7,2.0,164.0,1.1767
3155,1843,HND,901742,1021726,Nueva Vida,2,1,66,4,0,,2,656.0,,,26.896
3156,1842,HND,901742,1021726,Pueblo Nuevo,2,1,38,5,0,,2,861.0,2.0,0.0,35.301
3157,1841,HND,901742,1021726,Pueblo Nuevo,2,2,34,4,1,,2,1025.0,2.0,615.0,42.025
3158,1840,HND,901742,1021726,Nueva Vida,2,2,46,6,0,,2,0.0,2.0,410.0,0.0
3159,1839,HND,901742,1021726,Nueva Vida,2,1,49,6,0,,2,40.344,,,1.654104
3169,1829,HND,901742,1021729,Luquigue,1,1,44,6,1,20.0,2,45.1,2.0,205.0,1.8491000000000002
3170,1828,HND,901742,1021729,Luquigue,1,1,35,2,0,,2,0.0,2.0,369.0,0.0
3171,1827,HND,901742,1021729,Luquigue,1,1,65,3,0,,2,143.5,2.0,102.5,5.883500000000001
3172,1826,HND,901742,1021729,Luquigue,1,1,50,5,0,,2,0.0,2.0,82.0,0.0
3173,1825,HND,901742,1021729,Luquigue,1,1,65,3,1,,2,492.0,2.0,307.5,20.172
3174,1824,HND,901742,1021729,Luquigue,1,1,48,6,1,50.0,2,123.0,2.0,114.8,5.043
3175,1823,HND,901742,1021729,Yorito,2,2,40,5,0,,2,20.5,2.0,246.0,0.8405
3176,1822,HND,901742,1021729,Yorito,2,1,25,2,0,,2,0.0,2.0,196.8,0.0
3177,1821,HND,901742,1021729,Yorito,2,1,50,3,0,,2,39.36,2.0,41.0,1.61376
3178,1820,HND,901742,1021729,Yorito,2,1,39,4,0,,2,82.0,2.0,348.5,3.362
3179,1819,HND,901742,1021729,Yorito,2,1,40,3,1,,2,8.2,2.0,184.5,0.3362
3180,1818,HND,901742,1021729,Yorito,2,1,52,4,1,,2,8.2,2.0,328.0,0.3362
3254,1744,HND,901742,1021723,Barrio sinahi,2,1,50,6,1,15.0,2,0.0,2.0,12.3,0.0
3255,1743,HND,901742,1021723,Barrio sinahi,2,1,35,4,1,20.0,2,1640.0,2.0,410.0,67.24000000000001
3256,1742,HND,901742,1021723,Barrio el Centro,2,1,51,3,1,10.0,2,123.0,2.0,123.0,5.043
3257,1741,HND,901742,1021723,Barrio el Centro,2,1,50,3,0,,2,287.0,2.0,82.0,11.767000000000001
3258,1740,HND,901742,1021723,Colonia cerro verde,2,1,42,3,0,,2,0.0,2.0,615.0,0.0
3259,1739,HND,901742,1021723,Colonia Nelson Portillo,2,1,38,4,0,,2,0.0,2.0,246.0,0.0
3260,1738,HND,901742,1021723,Colonia Nelson Portillo,2,1,47,4,0,,2,0.0,2.0,123.0,0.0
3261,1737,HND,901742,1021723,Barrio Pinares,2,1,40,3,0,,2,0.0,2.0,41.0,0.0
3302,1696,HND,901742,1021722,Las Minas,1,1,29,7,1,,2,0.0,2.0,164.0,0.0
3303,1695,HND,901742,1021722,Las Minas,1,1,40,4,1,,2,1025.0,2.0,225.5,42.025
3304,1694,HND,901742,1021722,Las Minas,1,2,35,4,1,,2,47.232,2.0,205.0,1.936512
3305,1693,HND,901742,1021722,Las Minas,1,1,58,3,0,,2,0.0,,,0.0
3306,1692,HND,901742,1021722,Las Minas,1,1,69,3,0,,2,0.0,2.0,164.0,0.0
3307,1691,HND,901742,1021730,Punta ocote,1,1,38,4,0,,2,164.0,,,6.724
3308,1690,HND,901742,1021730,Punta ocote,1,1,60,5,1,,2,0.0,2.0,164.0,0.0
3309,1689,HND,901742,1021730,Punta ocote,1,2,52,4,1,,2,3280.0,,,134.48000000000002
3310,1688,HND,901742,1021730,Lando Burgos,2,2,34,3,0,,2,0.0,,,0.0
3311,1687,HND,901742,1021730,Colonia Lando Burgos,2,1,25,4,0,,2,0.0,,,0.0
3312,1686,HND,901742,1021730,Colonia Emanuel,2,1,23,3,0,,2,0.0,2.0,369.0,0.0
3382,1616,HND,901742,1021725,Colonia La Libertad,2,2,59,3,1,,2,0.0,2.0,205.0,0.0
3383,1615,HND,901742,1021725,Colonia Jacobo V Carcamo ,2,2,51,6,1,50.0,2,1228.77,,,50.37957
3384,1614,HND,901742,1021725,La Libertad Sur,2,1,42,5,1,,2,492.0,2.0,410.0,20.172
3385,1613,HND,901742,1021725,Colonia Dionisio,2,1,52,1,0,,2,41.0,2.0,328.0,1.681
3391,1607,HND,901742,1021725,Barrio La Estaci_n,2,1,59,5,0,,2,2.87,,,0.11767000000000001
3455,1543,HND,901730,1021513,Cuyamel,1,1,46,3,0,,2,0.0,2.0,246.0,0.0
3456,1542,HND,901730,1021513,Cuyamel,1,1,44,5,0,,2,410.0,2.0,205.0,16.810000000000002
