,rsp_id,country,hh_size,remittances_yn,remesa_efectivo_uso_pct/2,exp_6months_health_USD,govt_ngo_help,health_top_priority
1187,3811,SLV,3,0,,10.0,0,0
1191,3807,SLV,10,0,,130.0,0,1
1192,3806,SLV,4,0,,20.0,0,0
1193,3805,SLV,2,0,,30.0,0,1
1197,3801,SLV,4,0,,25.0,0,0
1198,3800,SLV,4,0,,200.0,0,0
1199,3799,SLV,7,1,25.0,500.0,0,0
1200,3798,SLV,8,1,,100.0,0,1
1201,3797,SLV,4,1,50.0,600.0,0,1
1202,3796,SLV,4,1,20.0,95.0,0,0
1203,3795,SLV,8,0,,450.0,0,1
1204,3794,SLV,3,1,,800.0,0,0
1206,3792,SLV,4,1,100.0,400.0,1,1
1207,3791,SLV,2,0,,50.0,0,0
1211,3787,SLV,4,1,100.0,3000.0,0,0
1212,3786,SLV,0,0,,250.0,0,0
1214,3784,SLV,5,0,,320.0,0,0
1216,3782,SLV,4,0,,100.0,0,1
1223,3775,SLV,6,0,,18.0,0,0
1345,3653,SLV,4,0,,100.0,0,0
1346,3652,SLV,3,0,,24.0,0,0
1353,3645,SLV,2,0,,15.0,0,0
1354,3644,SLV,5,0,,200.0,1,0
1355,3643,SLV,3,0,,200.0,0,0
1356,3642,SLV,3,0,,10.0,0,0
1357,3641,SLV,5,0,,25.0,0,0
1358,3640,SLV,4,0,,40.0,0,1
1359,3639,SLV,3,0,,8.0,0,1
1360,3638,SLV,4,0,,150.0,0,1
1361,3637,SLV,3,1,40.0,500.0,0,0
1362,3636,SLV,6,0,,120.0,0,0
1363,3635,SLV,2,0,,25.0,0,0
1364,3634,SLV,5,1,,250.0,0,0
1365,3633,SLV,3,0,,27.0,0,0
1366,3632,SLV,4,1,,50.0,0,0
1367,3631,SLV,4,0,,40.0,0,0
1368,3630,SLV,2,0,,50.0,0,0
1369,3629,SLV,3,0,,250.0,0,0
1425,3573,SLV,4,0,,100.0,0,0
1426,3572,SLV,7,0,,100.0,0,0
1427,3571,SLV,2,0,,12.0,0,0
1428,3570,SLV,4,0,,300.0,0,0
1430,3568,SLV,8,0,,75.0,0,0
1431,3567,SLV,5,0,,80.0,0,0
1433,3565,SLV,2,0,,100.0,0,0
1436,3562,SLV,5,0,,100.0,0,0
1437,3561,SLV,2,0,,300.0,0,0
1438,3560,SLV,4,0,,400.0,0,0
1443,3555,SLV,4,0,,50.0,0,0
1444,3554,SLV,3,0,,66.0,0,0
1446,3552,SLV,4,1,20.0,90.0,0,0
1450,3548,SLV,5,1,,200.0,0,0
1451,3547,SLV,4,0,,20.0,0,0
1454,3544,SLV,7,1,,80.0,0,0
1470,3528,SLV,3,0,,400.0,0,1
